Year,CO2_PPM
1000,278.66
1001,278.68
1002,278.69
1003,278.71
1004,278.72
1005,278.73
1006,278.74
1007,278.75
1008,278.76
1009,278.77
1010,278.78
1011,278.79
1012,278.8
1013,278.81
1014,278.82
1015,278.83
1016,278.84
1017,278.85
1018,278.86
1019,278.88
1020,278.89
1021,278.91
1022,278.93
1023,278.95
1024,278.97
1025,279
1026,279.03
1027,279.06
1028,279.09
1029,279.13
1030,279.16
1031,279.2
1032,279.25
1033,279.29
1034,279.34
1035,279.39
1036,279.44
1037,279.5
1038,279.55
1039,279.61
1040,279.67
1041,279.73
1042,279.79
1043,279.86
1044,279.92
1045,279.98
1046,280.05
1047,280.11
1048,280.17
1049,280.23
1050,280.29
1051,280.35
1052,280.41
1053,280.47
1054,280.53
1055,280.58
1056,280.63
1057,280.68
1058,280.73
1059,280.77
1060,280.82
1061,280.85
1062,280.89
1063,280.92
1064,280.95
1065,280.98
1066,281.01
1067,281.04
1068,281.06
1069,281.08
1070,281.1
1071,281.12
1072,281.14
1073,281.16
1074,281.18
1075,281.2
1076,281.21
1077,281.23
1078,281.25
1079,281.27
1080,281.28
1081,281.3
1082,281.32
1083,281.34
1084,281.36
1085,281.38
1086,281.4
1087,281.42
1088,281.45
1089,281.47
1090,281.5
1091,281.52
1092,281.55
1093,281.57
1094,281.6
1095,281.63
1096,281.66
1097,281.69
1098,281.72
1099,281.76
1100,281.79
1101,281.82
1102,281.86
1103,281.89
1104,281.92
1105,281.96
1106,281.99
1107,282.02
1108,282.05
1109,282.08
1110,282.11
1111,282.14
1112,282.17
1113,282.19
1114,282.22
1115,282.24
1116,282.27
1117,282.29
1118,282.31
1119,282.33
1120,282.35
1121,282.37
1122,282.39
1123,282.41
1124,282.43
1125,282.45
1126,282.47
1127,282.48
1128,282.5
1129,282.52
1130,282.53
1131,282.55
1132,282.56
1133,282.58
1134,282.59
1135,282.6
1136,282.61
1137,282.62
1138,282.62
1139,282.62
1140,282.63
1141,282.63
1142,282.63
1143,282.62
1144,282.62
1145,282.62
1146,282.61
1147,282.6
1148,282.59
1149,282.58
1150,282.57
1151,282.55
1152,282.54
1153,282.52
1154,282.51
1155,282.49
1156,282.47
1157,282.45
1158,282.42
1159,282.4
1160,282.38
1161,282.35
1162,282.32
1163,282.3
1164,282.27
1165,282.24
1166,282.21
1167,282.19
1168,282.16
1169,282.14
1170,282.12
1171,282.1
1172,282.08
1173,282.07
1174,282.06
1175,282.05
1176,282.04
1177,282.04
1178,282.03
1179,282.03
1180,282.03
1181,282.03
1182,282.03
1183,282.02
1184,282.02
1185,282.02
1186,282.01
1187,282
1188,282
1189,281.99
1190,281.98
1191,281.96
1192,281.95
1193,281.94
1194,281.92
1195,281.91
1196,281.89
1197,281.87
1198,281.86
1199,281.85
1200,281.83
1201,281.82
1202,281.81
1203,281.8
1204,281.79
1205,281.78
1206,281.77
1207,281.76
1208,281.75
1209,281.74
1210,281.73
1211,281.72
1212,281.71
1213,281.7
1214,281.69
1215,281.68
1216,281.67
1217,281.66
1218,281.65
1219,281.64
1220,281.64
1221,281.63
1222,281.63
1223,281.62
1224,281.62
1225,281.63
1226,281.63
1227,281.63
1228,281.64
1229,281.65
1230,281.65
1231,281.66
1232,281.67
1233,281.68
1234,281.69
1235,281.7
1236,281.71
1237,281.71
1238,281.72
1239,281.73
1240,281.74
1241,281.74
1242,281.75
1243,281.75
1244,281.75
1245,281.76
1246,281.76
1247,281.75
1248,281.75
1249,281.75
1250,281.74
1251,281.73
1252,281.73
1253,281.72
1254,281.71
1255,281.69
1256,281.68
1257,281.66
1258,281.65
1259,281.63
1260,281.61
1261,281.59
1262,281.57
1263,281.55
1264,281.52
1265,281.5
1266,281.47
1267,281.45
1268,281.42
1269,281.4
1270,281.37
1271,281.35
1272,281.32
1273,281.29
1274,281.27
1275,281.24
1276,281.22
1277,281.2
1278,281.17
1279,281.15
1280,281.13
1281,281.11
1282,281.09
1283,281.07
1284,281.05
1285,281.04
1286,281.02
1287,281.01
1288,280.99
1289,280.98
1290,280.97
1291,280.96
1292,280.95
1293,280.94
1294,280.93
1295,280.92
1296,280.91
1297,280.9
1298,280.9
1299,280.89
1300,280.88
1301,280.87
1302,280.86
1303,280.85
1304,280.84
1305,280.84
1306,280.83
1307,280.83
1308,280.82
1309,280.82
1310,280.82
1311,280.82
1312,280.83
1313,280.84
1314,280.85
1315,280.87
1316,280.89
1317,280.91
1318,280.93
1319,280.95
1320,280.98
1321,281
1322,281.03
1323,281.05
1324,281.08
1325,281.1
1326,281.13
1327,281.15
1328,281.17
1329,281.18
1330,281.2
1331,281.21
1332,281.22
1333,281.22
1334,281.22
1335,281.22
1336,281.22
1337,281.21
1338,281.2
1339,281.19
1340,281.17
1341,281.15
1342,281.13
1343,281.11
1344,281.08
1345,281.06
1346,281.03
1347,281
1348,280.97
1349,280.95
1350,280.92
1351,280.89
1352,280.86
1353,280.83
1354,280.81
1355,280.78
1356,280.75
1357,280.73
1358,280.71
1359,280.68
1360,280.66
1361,280.64
1362,280.62
1363,280.6
1364,280.58
1365,280.56
1366,280.54
1367,280.53
1368,280.51
1369,280.49
1370,280.48
1371,280.46
1372,280.45
1373,280.43
1374,280.42
1375,280.41
1376,280.39
1377,280.38
1378,280.37
1379,280.36
1380,280.35
1381,280.34
1382,280.33
1383,280.32
1384,280.31
1385,280.3
1386,280.29
1387,280.29
1388,280.28
1389,280.28
1390,280.27
1391,280.27
1392,280.27
1393,280.26
1394,280.26
1395,280.26
1396,280.25
1397,280.25
1398,280.25
1399,280.25
1400,280.25
1401,280.25
1402,280.25
1403,280.25
1404,280.25
1405,280.25
1406,280.25
1407,280.25
1408,280.25
1409,280.25
1410,280.26
1411,280.26
1412,280.27
1413,280.27
1414,280.28
1415,280.29
1416,280.29
1417,280.3
1418,280.31
1419,280.32
1420,280.33
1421,280.33
1422,280.34
1423,280.35
1424,280.36
1425,280.36
1426,280.37
1427,280.37
1428,280.38
1429,280.38
1430,280.38
1431,280.38
1432,280.38
1433,280.38
1434,280.37
1435,280.36
1436,280.35
1437,280.33
1438,280.31
1439,280.29
1440,280.27
1441,280.24
1442,280.21
1443,280.18
1444,280.15
1445,280.12
1446,280.09
1447,280.06
1448,280.02
1449,279.99
1450,279.96
1451,279.93
1452,279.9
1453,279.87
1454,279.84
1455,279.82
1456,279.79
1457,279.76
1458,279.74
1459,279.71
1460,279.69
1461,279.67
1462,279.65
1463,279.64
1464,279.62
1465,279.61
1466,279.6
1467,279.6
1468,279.59
1469,279.59
1470,279.59
1471,279.6
1472,279.61
1473,279.62
1474,279.63
1475,279.65
1476,279.67
1477,279.69
1478,279.72
1479,279.75
1480,279.78
1481,279.82
